candidate_id,rail,current_width,recent_width,lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_profit_factor,short_profit_factor,long_pnl,short_pnl,bad_context_stops,low_mfe_stops
phase2a_semantic_upper_235_w11_r14_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,14,35,183,3337.607497403405,1.1810710893250622,56.830601092896174,-23.529998426538455,1.253779026105387,1.0918710402646088,2577.1440696866,760.463427716805,79,42
phase2a_transition_245_w9_r8_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,8,10,360,4483.573444358731,1.1067653133018673,56.388888888888886,-22.163255564610918,1.1701061498865521,1.0475347953851075,3451.999063463209,1031.5743808955217,157,62
phase2a_transition_245_w9_r8_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,8,20,360,4483.573444358731,1.1067653133018673,56.388888888888886,-22.163255564610918,1.1701061498865521,1.0475347953851075,3451.999063463209,1031.5743808955217,157,62
phase2a_transition_245_w9_r8_lb35_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,8,35,360,4483.573444358731,1.1067653133018673,56.388888888888886,-22.163255564610918,1.1701061498865521,1.0475347953851075,3451.999063463209,1031.5743808955217,157,62
phase2a_transition_245_w9_r10_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,10,10,348,5151.638616053605,1.1329583461482553,56.32183908045977,-22.576012783154688,1.1448810254873647,1.1207790194109857,2836.68679401698,2314.9518220366244,152,59
phase2a_transition_245_w9_r10_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,10,20,350,4945.58891384468,1.1232517719645756,56.285714285714285,-22.57601278315323,1.1613152033306726,1.085922364610046,3204.949136728234,1740.6397771164463,153,59
phase2a_transition_245_w9_r10_lb35_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,10,35,352,4737.857335040859,1.118785595470276,56.25,-22.576012783151477,1.1510177658566583,1.0868567518895065,2997.493235839658,1740.3640992012006,154,60
phase2a_transition_245_w9_r12_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,12,10,283,2813.206006983193,1.0934018087834025,55.830388692579504,-26.386091204447325,1.1052504811433155,1.0783810075423634,1772.1655116541988,1041.0404953289942,125,51
phase2a_transition_245_w9_r12_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,12,20,299,5374.525351378222,1.152983023616922,56.187290969899664,-20.360026423965838,1.1261953935223517,1.1866724428901743,2469.694920582068,2904.8304307961535,131,53
phase2a_transition_245_w9_r12_lb35_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,12,35,318,5004.865390500856,1.140646378065501,56.60377358490566,-20.360026423965838,1.1623311875081923,1.1154899115315209,3102.321035593035,1902.544354907821,138,56
phase2a_transition_245_w9_r14_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,14,10,209,-709.7658338940007,0.9624398424685884,53.110047846889955,-26.706074688549087,1.0591328119789265,0.8432613616036573,616.9057985364907,-1326.6716324304914,98,45
phase2a_transition_245_w9_r14_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,14,20,235,-482.13658597595247,0.9782251285212142,53.61702127659574,-27.102221295538122,1.0373659231223142,0.8970023257803107,478.75539977014256,-960.8919857460951,109,47
phase2a_transition_245_w9_r14_lb35_sym_1hatr_sl2p45_tp2p45_fee04,2.45,9,14,35,256,-288.62090613271596,0.9877337034071217,53.90625,-26.421834216924832,1.0923211792680236,0.846436763715054,1248.295542894103,-1536.9164490268188,118,50
