rail,current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,mean_pnl,median_pnl,mean_wr_pct,median_wr_pct,mean_trades,pf_ge_1_15,both_sides_pf_gt_1,mean_pf_symmetry_gap
2.45,11,13,10,1,1.0875812195669523,1.0875812195669523,1599.4032465205396,1599.4032465205396,55.67567567567567,55.67567567567567,185.0,0,0,0.2643946777791818
2.45,11,13,20,1,1.153528117138168,1.153528117138168,3146.22546060058,3146.22546060058,56.25,56.25,192.0,1,1,0.15345848170594145
2.45,11,13,35,1,1.1554960160524261,1.1554960160524261,3245.935115659286,3245.935115659286,56.34517766497462,56.34517766497462,197.0,1,1,0.18777736457331318
2.45,12,11,10,1,1.031606505400012,1.031606505400012,421.42683496534147,421.42683496534147,53.47222222222222,53.47222222222222,144.0,0,0,0.20883659362569273
2.45,12,11,20,1,1.031606505400012,1.031606505400012,421.42683496534147,421.42683496534147,53.47222222222222,53.47222222222222,144.0,0,0,0.20883659362569273
2.45,12,11,35,1,1.031606505400012,1.031606505400012,421.42683496534147,421.42683496534147,53.47222222222222,53.47222222222222,144.0,0,0,0.20883659362569273
2.45,12,12,10,1,1.031606505400012,1.031606505400012,421.42683496534147,421.42683496534147,53.47222222222222,53.47222222222222,144.0,0,0,0.20883659362569273
2.45,12,12,20,1,1.031606505400012,1.031606505400012,421.42683496534147,421.42683496534147,53.47222222222222,53.47222222222222,144.0,0,0,0.20883659362569273
2.45,12,12,35,1,1.031606505400012,1.031606505400012,421.42683496534147,421.42683496534147,53.47222222222222,53.47222222222222,144.0,0,0,0.20883659362569273
2.45,12,13,10,1,1.0544244595419665,1.0544244595419665,690.6730594217906,690.6730594217906,53.90070921985816,53.90070921985816,141.0,0,1,0.07106775082967798
2.45,12,13,20,1,1.0310078897730028,1.0310078897730028,402.44272930489734,402.44272930489734,53.52112676056338,53.52112676056338,142.0,0,0,0.11273783908858592
2.45,12,13,35,1,1.0310076993690496,1.0310076993690496,402.44022114381585,402.44022114381585,53.52112676056338,53.52112676056338,142.0,0,0,0.11273754016500548
